ZipcodeZones,Sp_diversity_2008,Sp_Richness_2008,completed_lists_2008,Sp_diversity_2009,Sp_Richness_2009,completed_lists_2009,Sp_diversity_2010,Sp_Richness_2010,completed_lists_2010,Sp_diversity_2011,Sp_Richness_2011,completed_lists_2011,Sp_diversity_2012,Sp_Richness_2012,completed_lists_2012,Sp_diversity_2013,Sp_Richness_2013,completed_lists_2013,Sp_diversity_2014,Sp_Richness_2014,completed_lists_2014,Sp_diversity_2015,Sp_Richness_2015,completed_lists_2015,Sp_diversity_2016,Sp_Richness_2016,completed_lists_2016,Sp_diversity_2017,Sp_Richness_2017,completed_lists_2017,Sp_diversity_2018,Sp_Richness_2018,completed_lists_2018,Area
49453,2.880992633,64,8,2.673835937,53,25,2.307736652,47,45,2.796851532,44,46,2.721398104,78,67,2.913113432,76,134,3.579911988,73,75,3.238613182,55,86,3.207478074,61,143,2.319159423,60,70,2.775370243,52,148,30738416.39
48390,3.533852619,63,70,3.519982543,73,128,3.18438428,74,152,3.039464403,64,91,3.670110679,66,134,3.584411086,63,123,3.628765846,72,134,3.815816634,76,343,3.702810744,67,589,3.738462472,65,510,3.872809737,70,635,34986086.59
48173,1.927320971,102,40,2.6213757,94,72,1.667913538,91,106,2.384309896,85,78,2.402400799,82,123,2.97628664,82,134,1.866947116,76,165,2.772056626,95,201,2.981058505,91,253,2.639828677,94,279,2.922195826,92,460,35830617.73
49125,3.870132176,68,4,3.982213193,114,30,4.094288418,103,24,3.380192126,83,26,3.718403376,104,29,3.326318848,65,67,3.9644032,82,116,3.68049585,74,131,3.926239219,87,248,3.558515584,84,232,3.397031717,66,333,38016305.44
48910,3.567906866,53,6,3.641958582,79,15,3.236755225,72,16,4.029776212,81,35,3.736500093,74,269,3.14001499,62,302,3.792751834,72,584,3.442086288,58,618,3.428036067,67,502,3.19759478,74,736,3.291090176,65,836,40282137.9
48108,0.553944481,41,30,2.938324374,60,54,3.359562906,54,60,3.686722579,63,203,3.865070051,74,242,3.596394656,61,395,2.698236248,59,450,3.855371906,71,639,3.663741766,67,477,3.928349144,75,540,3.552473143,64,478,44061687.37
49428,2.273648452,16,2,3.408643005,49,6,3.406219531,63,6,3.321913931,66,6,4.073885332,89,17,3.821410949,83,17,4.332313709,87,53,4.009721993,78,135,4.068935835,71,199,4.102599875,74,167,4.123309314,72,234,44614099.4
48326,2.957848047,24,5,3.61814651,64,20,2.880612225,50,34,3.273011759,53,60,3.778362887,76,39,2.489591417,42,70,2.998905647,54,55,2.378534589,52,75,2.536897719,40,71,3.373033284,55,140,3.557708131,58,147,46357697.2
49546,2.943623481,23,345,3.231103957,29,404,3.237550462,29,425,3.38416087,37,838,3.61206913,49,541,3.242351388,33,528,3.404609796,47,511,3.310595446,42,580,3.279751557,36,601,3.655900776,46,649,3.49853564,41,481,48390773.31
48048,4.159903312,106,12,4.082376869,101,29,4.238788726,105,36,3.290397582,99,17,3.825700716,90,50,3.716827867,77,47,2.860068622,104,96,3.155884484,86,112,3.423246493,84,238,3.134842934,81,304,3.029519473,71,345,49667885.94
49060,2.648315918,22,2,0,1,1,2.973173521,61,26,3.605063216,70,44,1.940874894,55,64,3.338167306,63,120,3.393814312,68,99,3.393796875,65,142,3.349967456,65,452,3.434451164,66,466,3.571684904,73,1233,54724021.52
49117,2.279228812,48,2,2.859108274,93,10,3.159985752,76,29,2.917472976,60,26,2.776831928,81,28,2.701099471,60,109,3.331330575,73,168,2.490096813,68,167,2.338072139,68,257,3.578204444,70,289,3.667620702,81,347,54781129.52
48864,0,1,1,3.320685216,37,30,3.297320691,42,59,3.239001866,41,42,2.807208146,50,104,3.75872304,70,156,3.155626417,36,524,3.200583556,44,407,3.511562185,45,785,3.627274744,52,616,3.352775882,56,491,56305474.23
49512,3.75025933,92,57,2.716436177,50,22,3.534403521,84,78,3.318306667,44,150,3.587338474,55,103,3.071910029,51,286,3.568088173,54,248,3.273108988,44,405,3.543126385,52,396,3.355717462,52,325,3.513752058,48,244,59139685.81
48045,3.768220758,88,10,3.160499071,99,31,3.155674446,96,44,2.428295397,82,106,2.631393023,115,652,2.803367737,99,777,4.034723471,115,839,3.890750088,117,917,3.426439821,119,1341,2.621761497,104,1947,3.730651255,105,1946,61744616.15
48060,2.648974662,38,16,2.516358135,27,28,2.65596721,52,31,3.084401835,52,47,3.17113416,51,67,2.908840332,44,155,1.217132408,44,99,1.796108991,40,230,2.656998324,45,236,2.375368375,48,329,2.801692537,44,378,62033152.76
48727,3.19843434,49,35,3.508179125,44,149,3.73552022,58,93,3.637750002,64,85,3.677656892,52,92,4.028396041,70,73,3.693615675,71,76,3.78871593,56,72,3.841060794,58,36,3.789529702,67,57,3.536551197,57,105,63839397.44
48179,4.069782136,165,14,3.137530968,129,44,4.045219663,135,54,3.798892579,135,105,3.634776382,111,141,3.735280931,94,273,3.808043766,115,274,3.85694282,130,350,3.488719859,120,359,3.766277448,120,412,3.595277985,117,487,64327697.23
49085,3.299802296,50,4,3.016212746,39,44,1.831377569,59,55,2.869757591,36,46,3.132097318,78,109,2.984037992,56,153,3.537343496,62,95,3.358957733,61,178,3.27001849,43,274,3.416532458,53,306,2.878003742,47,406,67684632.34
49613,4.030574843,107,19,4.075116717,98,27,4.039132054,106,42,4.199793414,109,47,3.696185281,107,130,3.830207566,108,136,4.058101656,102,163,3.514458802,95,153,3.98873706,102,154,3.73464832,94,234,4.010398393,95,199,68526240.79
48380,3.534388801,56,8,3.709012739,85,26,3.2767704,70,41,3.247892888,68,42,3.487172433,77,106,3.59696386,79,145,3.528576449,88,217,3.754282592,91,336,3.773336397,87,465,3.695268568,88,487,3.813257235,88,652,69919632.06
49203,NA,NA,0,3.909645365,64,18,3.370879327,47,44,3.2353008,51,79,3.783737348,67,88,3.914570923,70,64,3.634008646,59,132,3.784049452,68,175,3.422448203,63,117,3.247858254,69,85,3.399882781,57,101,70269464.21
48170,NA,NA,0,3.580826635,51,18,3.482307809,48,26,2.948436612,63,20,3.393893697,39,86,2.996863018,35,89,3.027397774,42,122,3.615908641,48,127,3.470963343,43,172,3.332919971,42,220,3.457177153,42,464,88988411.44
48198,2.670261427,35,6,2.964313354,47,21,2.838778852,62,55,3.462180777,61,122,3.691515564,72,278,3.318561005,52,414,3.357580765,52,328,3.377795615,59,308,3.481154714,72,591,3.310717863,66,724,3.357784884,61,745,89237466.52
49441,2.847360868,39,24,2.345761711,89,20,1.284882804,60,32,1.868911607,58,93,1.643854836,68,165,2.754003892,73,179,2.658189164,53,287,2.956005652,58,319,2.058536835,56,356,2.373592886,43,382,2.532011704,42,684,93591760.9
48189,1.65000487,30,4,2.522944462,41,32,2.471022116,35,63,2.294633666,41,83,2.864560558,47,180,2.4248499,45,212,2.077007107,47,161,2.448209486,61,171,3.447574486,65,168,3.606363997,69,145,3.186571522,34,432,94708200.56
48116,3.73758014,69,17,3.899299457,67,29,3.388573246,47,50,3.983760845,62,106,2.822076463,61,162,3.779142691,57,149,4.129361902,77,116,4.075563761,69,116,4.155632062,78,158,3.810716005,55,283,3.87588725,66,294,103982175.2
49128,2.905247067,42,2,3.345996903,91,44,3.449637902,91,56,3.356137925,91,48,3.171472896,80,76,2.835309552,83,174,3.048525646,80,226,2.850505227,78,234,3.096978691,73,412,3.584976299,78,522,3.759598397,82,545,111868912.8
48137,3.378797508,41,21,3.806933004,70,20,1.726136925,26,26,3.314459813,49,70,3.045936815,50,114,3.53487081,48,140,3.763065936,56,106,4.106932957,72,61,3.790342804,70,64,3.972496265,64,63,3.783373515,67,86,116220174.1
49442,2.640876715,122,59,2.536244749,126,80,2.777432062,124,96,2.688928209,99,175,2.88396029,100,308,2.803991816,103,232,3.04158163,98,300,3.165034338,107,329,3.205785002,106,435,3.128870179,107,695,3.043201124,113,545,119510891
49103,1.526407433,18,1,2.822785528,59,33,3.786846731,81,31,3.648306502,68,25,3.490293167,89,16,3.404782797,59,87,3.390138653,62,225,3.330365676,59,88,3.542402573,50,745,3.040218174,39,509,3.578246906,54,884,120328589.5
48462,3.423769415,40,45,3.354647164,39,46,3.407016758,37,52,3.464644559,40,65,3.470035976,38,53,3.293644173,40,63,3.328354784,37,57,3.216956452,57,31,3.415629635,37,24,3.147718225,63,16,3.827278029,57,46,126641988.1
48634,3.404933745,50,4,3.344985517,54,41,2.957073359,57,89,3.339297149,66,75,3.049708911,55,84,3.042721605,57,100,3.099609262,59,155,2.50019694,54,105,1.880954656,52,162,2.297022993,60,123,3.292902317,65,87,126799944
48105,2.983205563,52,94,1.979231994,54,109,3.260164009,49,114,3.360302178,62,245,3.227182405,63,494,3.742063131,72,797,3.888790664,68,1233,3.896085583,72,1107,3.980079026,69,1484,3.972953188,69,1303,3.743122403,75,1667,131289110.4
48893,3.193190015,48,100,3.366657162,56,124,3.439842163,50,109,3.603967392,55,86,3.379113049,54,300,3.273233836,45,345,3.656466111,52,277,3.203864299,55,240,3.314237762,65,177,3.052485536,48,214,3.072972626,49,277,138699960.1
49417,2.654207564,37,60,2.834626171,49,42,1.800253002,25,85,1.283322326,31,133,2.171489864,50,160,3.531182433,60,185,3.813282146,80,241,3.912004177,75,334,2.394805254,78,399,4.023974115,96,472,3.941636226,93,591,141722243.7
49301,3.917110104,82,27,3.594721974,61,30,3.197997185,80,35,3.543350843,46,177,3.896972835,70,92,3.875021517,68,174,3.896602545,67,312,3.797236219,69,225,3.875285292,68,184,3.941504228,65,252,3.802388279,60,431,150372745.6
49806,3.161157704,44,10,3.15492681,49,45,2.962648052,39,16,3.540409592,48,7,4.355838591,97,14,3.340625495,51,29,2.973899298,45,37,2.158126595,35,115,3.18868546,36,262,3.569295629,50,389,3.693112595,54,580,158515213.6
49404,0.797174091,15,27,1.965412013,10,22,1.357697695,13,26,3.025326019,37,15,2.31604329,37,21,2.271996069,47,22,3.111041788,68,73,2.96693922,61,173,2.938239298,63,245,2.834957903,59,309,2.658043204,45,312,162967398.7
48169,0.893288317,60,114,1.011606651,52,236,0.278478122,43,263,0.959880162,45,367,3.309596728,54,480,3.196411031,50,487,3.2283152,53,335,3.214144131,59,229,3.571330481,67,383,3.672018563,75,290,3.55472758,49,886,163054913.6
48130,3.665223638,53,25,3.49827008,59,52,3.346448293,53,73,3.506438997,48,192,3.453163511,48,523,3.672037593,55,941,3.657003248,53,885,3.754560299,53,1044,3.810534587,61,1093,3.760103119,55,773,3.503518737,54,1305,163758141.6
49424,2.076174814,45,13,2.169977225,47,29,0.945487447,56,67,2.486734951,57,121,2.297965154,53,134,3.35370502,62,425,3.42714392,64,817,3.025473831,52,1070,3.042147144,61,1024,3.048768919,65,1541,3.021917647,65,1978,166940097.1
48806,2.281201954,43,6,3.736999786,97,14,3.650547987,63,24,3.356853359,82,38,3.635121751,84,110,3.841467819,96,118,3.594428424,74,177,3.838196643,90,176,3.997164011,95,410,2.897139725,93,355,4.010361826,94,242,168380124.3
48103,3.517922102,42,72,2.41927785,52,91,3.511630191,51,116,3.976310447,70,353,3.623288758,58,787,3.620496145,67,1886,3.798935443,58,1769,3.861841574,61,1885,4.016917157,68,1759,3.930837234,64,1913,3.832796463,68,2368,169762884.7
49621,2.159738551,11,2,2.579986346,24,3,2.98740384,40,6,3.011146063,34,4,3.589278076,66,39,3.743702541,53,550,3.452546839,51,460,3.671152023,54,223,3.920413512,61,333,3.670127726,54,468,3.505713822,53,376,171453124.9
48423,2.726327849,30,3,4.070293424,90,9,3.334892464,64,8,2.722929973,63,28,1.832066778,63,14,2.898917991,52,10,2.393529877,66,30,3.278536211,77,57,2.983942057,61,102,3.026675097,68,143,3.213972071,75,213,173545205.8
48111,2.262386254,11,2,1.948728926,39,24,2.557626057,48,39,3.00355106,46,42,2.675535667,63,77,2.275787996,36,186,3.008914026,51,239,2.891818975,55,143,2.207169703,45,336,2.682952268,38,515,1.365654368,40,726,180706615.8
49445,2.605676863,117,13,2.653552741,131,17,2.83265214,99,23,3.856937275,72,42,3.988181936,102,123,2.804484831,100,75,4.223371907,90,107,3.80766087,75,156,4.05728581,77,175,4.136012411,87,220,4.006606975,84,227,185519640.7
48706,3.860626308,64,475,3.644321255,61,440,3.535698111,60,458,3.495165822,58,528,3.250336321,50,517,2.772663536,58,575,3.46784039,53,535,3.200900382,67,452,3.455291511,76,410,2.962692717,75,333,3.216405763,66,549,192154635.5
48176,2.058965917,13,5,2.677718718,31,14,3.062462154,34,24,2.900513195,38,90,3.17815094,45,86,3.079820144,38,135,3.050543912,44,144,3.13763085,63,90,3.229417461,63,129,3.837714339,64,114,3.383318661,58,211,193608462
49423,1.965673241,35,22,3.361522958,53,41,3.326862776,53,42,1.476599935,46,98,2.998031207,46,167,3.38096766,57,303,3.506957482,63,538,3.568731401,61,780,3.447159134,59,773,3.074826145,61,691,3.510622921,57,795,205254311
48730,3.949339431,130,21,4.445817663,149,28,4.292586759,140,46,4.466002011,138,106,4.403863753,134,284,3.566921754,115,775,4.43561969,134,736,4.535534013,132,793,3.812235628,128,1278,4.203217758,121,1695,4.266653288,132,2432,208352002
49090,3.180638874,72,23,3.646898653,96,11,3.135599564,79,26,2.922737304,42,91,3.010237648,80,35,3.149568149,78,19,3.235231806,60,105,2.858813919,32,373,3.188505811,38,249,2.935157661,43,157,3.346196034,59,159,210030655.2
49457,4.116341133,86,9,3.753760496,86,23,3.269985685,104,19,3.383423239,88,23,1.988008313,105,75,3.462089764,88,41,4.086608108,97,91,3.820933976,101,75,2.767175107,102,76,3.696768984,88,96,3.3689217,102,77,210390237.9
49712,3.886344108,54,35,3.987644968,84,157,3.051168589,37,128,2.807259361,20,72,3.064159212,45,97,3.329710764,38,112,3.604180652,52,149,3.18617561,39,243,3.399575035,47,169,3.521724671,58,96,3.599290927,54,210,212692824.9
48629,NA,NA,0,4.030076147,98,17,2.786076441,35,21,3.085895321,46,242,2.96745328,53,248,3.057523768,46,194,3.451328973,59,231,3.418312051,60,203,3.625243892,73,298,3.634403388,76,244,3.490052799,63,255,215743729.3
49333,3.272402758,57,9,3.701800287,59,17,3.750707543,58,23,4.02118557,78,33,3.785811994,70,46,3.905778723,78,108,4.092259419,83,406,3.838775691,71,284,3.945926628,73,395,3.930879701,70,419,3.830348837,82,503,215984975.6
48461,0.693147181,2,2,3.483753219,42,25,3.735000999,67,13,3.944393748,73,13,3.797282311,76,8,3.220051863,91,11,4.329177115,101,31,4.248853219,109,53,3.479090322,100,53,3.998084162,80,114,3.49625256,80,122,218274694.4
48767,2.081203538,23,3,3.816306717,119,27,2.706881233,91,38,3.103159119,104,35,3.513959198,90,83,3.505096887,90,52,3.426238193,79,64,3.664043653,106,99,3.923599556,116,424,3.669960037,101,229,2.681645559,97,305,219690139
49341,2.243417782,73,8,3.096182821,72,16,3.83983512,66,65,3.796982369,68,120,3.38196322,69,120,3.756087361,71,309,3.599770789,64,211,3.859802144,58,182,3.596229198,58,148,3.734522976,60,161,3.190288063,53,190,224888881.9
49614,1.843340432,7,25,2.136350695,9,21,2.978510977,30,42,3.56678158,63,32,3.946327098,68,93,3.416894892,47,88,3.643650073,55,101,2.918574445,47,107,3.7688736,71,65,3.537327222,65,65,3.694650274,66,51,226903889.7
48430,2.630554954,15,1,3.217829354,71,17,2.986701425,49,37,2.94321137,45,33,1.840729922,39,62,3.509568485,58,128,2.62158817,43,72,3.352436011,58,48,2.978610031,46,88,2.721853492,59,83,2.861555709,36,310,230296627.8
48118,3.874172435,84,38,4.018926037,78,75,2.790567929,56,40,3.710779889,56,141,3.979922401,70,279,4.00573736,72,393,3.771884611,69,611,3.974396827,74,922,4.119025933,83,806,4.190819278,88,477,4.064368809,79,943,238061050.5
48855,3.482059453,39,7,4.034469095,65,36,3.559476692,53,68,3.727090199,51,65,3.861901181,62,65,4.040735599,76,54,3.553410649,53,72,3.417065097,43,93,3.842684219,70,136,3.753383892,79,40,3.679425052,65,93,239567230.1
48843,2.543595346,48,38,3.244637804,42,47,3.029501187,38,88,3.299199845,46,156,2.798414889,37,163,3.425822752,55,202,3.568923886,63,161,3.844401374,84,179,3.798240203,75,278,3.667212842,73,191,3.379486511,57,533,240376620.6
48836,1.18114336,34,23,1.006469682,17,5,3.051909606,45,18,3.691479278,50,40,3.412918791,47,79,3.354666008,49,78,2.824094112,38,101,2.874279561,34,65,2.901838946,40,65,3.397206496,55,55,2.799999999,30,76,241728224.7
49781,1.795772066,34,5,2.557045787,39,21,2.672904567,49,32,2.629329945,33,23,2.120269196,50,49,1.746412902,34,67,1.358455687,63,97,2.917860216,43,94,2.287654836,54,196,2.313594899,47,230,3.21707101,50,299,261001397.9
48640,3.657456077,63,16,3.595754652,56,29,1.168776329,24,299,2.327808144,27,720,2.360864811,35,1296,2.165767366,32,1181,2.960414797,42,1077,2.5268722,42,1046,2.935865631,49,1400,2.947590608,54,1036,3.081304311,59,1146,271151578.2
49408,1.56929712,35,44,2.055450531,81,85,2.149925022,94,98,2.166068833,77,53,2.769661365,92,137,2.508265714,90,214,2.346509874,86,367,2.302111505,73,492,2.290358215,75,510,2.532752851,80,255,2.889010905,75,426,278351335.7
48650,3.890607706,93,24,3.636048468,81,22,3.559580785,83,40,2.72054553,74,72,3.413950238,82,100,3.652426239,81,191,3.741375999,91,214,3.580216294,97,268,3.459096725,96,315,3.588047246,111,498,3.185014928,107,728,283103455.6
49240,3.705511149,71,5,3.884812016,76,41,1.86530879,71,137,3.267637753,51,174,2.135607954,71,361,3.656605663,78,480,3.638857053,70,707,3.128879952,71,683,3.542500213,70,725,3.546476656,77,715,3.636821596,87,677,283431248.3
48601,3.087089043,102,21,3.711411769,111,47,2.421836684,86,173,2.882385737,87,133,3.135918793,107,172,3.48673,119,340,3.582326906,110,417,3.376140485,117,421,3.599391719,114,500,3.516052231,112,401,3.526791546,104,484,284168527.5
49431,2.711944167,23,48,2.710655509,17,50,3.220443665,41,21,2.580309308,40,65,3.063074648,28,126,2.923465393,27,186,3.213640538,41,221,3.404925283,45,163,3.629617172,68,197,3.074556422,54,225,3.112749136,58,326,320060327.2
49720,1.465871223,6,1,4.102622371,100,18,2.767850295,37,91,2.892117416,37,70,2.819054452,42,96,3.336175938,41,169,3.114628917,43,248,3.560885129,64,176,2.850463924,63,169,3.58355665,62,247,3.463708593,62,160,326228338.6
49684,2.717969957,39,26,3.411277161,52,30,3.585375728,49,189,2.691810577,52,229,3.360455944,50,244,3.629395736,65,540,3.487860579,57,853,3.506556443,62,639,2.990220516,62,720,3.273869129,54,934,3.409021373,60,1028,326256126.3
49686,2.825153452,41,9,3.63873507,77,20,2.906939536,41,85,2.65958941,56,114,2.653497123,51,417,2.590463212,52,348,3.499229069,63,452,3.649778039,65,376,3.377836664,62,601,3.101485587,63,659,3.663186956,65,875,386456305.7
49058,3.953549075,70,3,2.923040783,41,20,3.284089921,31,78,3.472831157,39,55,3.631776693,59,203,3.629475079,64,421,3.723502657,65,1329,3.580535932,65,1015,3.55016045,63,959,3.722386132,67,975,4.018957653,68,1336,391436235.4
49801,3.866284372,86,17,2.765711554,53,27,3.637397769,90,18,2.880841933,63,11,3.338016386,37,33,3.330833303,37,37,3.443789219,43,33,3.308135899,62,83,3.366784615,34,80,2.985054894,34,125,3.187911504,30,338,403611830.5
49201,2.271868513,10,2,3.13556017,57,32,1.696270368,30,172,1.933469429,35,242,2.318785827,39,257,2.256413481,33,262,3.459581727,49,542,2.401192446,52,965,2.670106158,42,1169,2.913491553,54,878,2.913509132,54,1043,408169388.1
49010,2.436234162,73,10,3.507735034,81,33,2.194299167,78,35,3.599530717,74,64,3.673375153,92,49,3.891077419,79,79,3.553858081,76,153,3.249119208,64,280,3.130200042,61,459,3.473900181,64,605,3.953573131,68,598,428875148.5
49663,1.83437197,9,1,2.532095016,22,64,2.745172573,26,106,3.169105043,33,88,3.101489005,33,86,3.395926678,39,101,3.724197092,66,50,3.706566829,61,23,3.727668148,73,47,3.96040427,75,83,3.978152653,73,88,442670487.6
48858,1.031767111,4,3,3.115702649,49,14,1.434601407,28,43,2.68479755,71,18,2.064964604,53,67,2.556475082,34,203,2.571846681,47,304,2.832803238,55,431,3.51941295,61,968,3.530673641,59,1280,3.333829048,57,1607,450574714.7
49783,3.375811087,39,14,2.876787575,42,31,3.055956613,32,77,2.925861536,28,169,3.092702464,29,145,2.903088187,25,181,2.98569937,30,178,2.810267335,31,294,3.425709236,53,539,3.230749907,40,452,3.376791533,43,464,495774422.3
49768,3.557762826,114,38,3.354697458,113,167,3.468187198,115,159,3.284708362,88,206,3.569576115,76,266,3.737917182,112,484,3.349425449,120,416,3.601949549,112,489,3.719890451,115,971,3.506427123,115,1256,3.675317264,92,1023,507408329.8
49660,3.478259969,40,56,3.514019818,37,33,0.789851215,73,49,2.713046634,48,320,3.211666187,43,843,3.045087203,44,1157,3.314049452,43,1161,3.087675862,36,1451,3.245798615,43,892,3.223557586,46,891,3.203812837,46,869,508935947.7
49601,0.683738906,3,5,2.938983628,42,23,3.751691417,79,72,2.533374438,34,27,3.166160346,49,59,3.121814185,43,72,2.912782225,50,90,3.002939114,58,60,2.792491095,46,58,3.610846852,57,50,2.889321833,42,81,552733228.6
49855,3.627078535,92,7,3.385317708,62,83,3.108220085,49,61,3.562494245,54,99,3.636042619,65,160,3.443060559,55,418,3.22580034,49,585,3.357479242,58,727,3.560185088,60,1130,3.472861521,57,1468,3.423863344,51,1700,624325859
49968,3.790641757,65,47,3.732496262,57,51,3.720496737,58,51,3.777639204,62,51,3.593246772,63,53,3.648115242,54,55,3.653815113,56,50,3.626678596,57,50,3.459852797,50,48,3.638239701,57,52,3.970198078,73,99,653824127.3
49883,4.486380449,130,14,4.427712715,127,20,3.846563456,83,35,3.875205128,75,51,3.861766977,67,70,4.053150214,76,91,3.929980652,75,106,3.94839557,83,154,3.837601108,72,237,3.844507298,77,248,3.767298333,70,260,720955560.8
49884,3.556804538,61,36,3.622462369,54,42,3.485737437,53,35,3.598470783,52,51,3.808793866,58,46,3.35865305,39,27,3.139395225,40,23,4.066211145,86,20,3.855922776,78,20,3.147340425,72,34,3.811465874,57,55,757785242.4
49721,4.085554025,96,16,3.656779033,82,11,2.895771714,43,23,3.449045477,49,43,3.192184786,38,21,3.671466944,63,33,3.577427344,61,72,3.465326234,53,116,3.606177504,62,214,3.484336533,57,294,3.715039429,63,271,764984052.9
49738,3.763676803,67,12,4.107204496,74,43,3.719384734,73,58,4.06049193,69,228,3.762344922,71,278,3.97049829,74,512,4.05024533,75,650,3.937233497,67,607,3.798551469,63,732,3.740646512,61,863,3.692873463,58,1129,775398043.4
